Date of Sale,Address,Location,Area,Total Area,Rooms,Plot,Closing Price
28 november 2014,Ängsgatan 19,"Centralt,Kungälvskommun",145+62,207.0,9,626,3160000
21 november 2014,Kullegatan 10,"Centralt,Kungälvskommun",113+51,164.0,7,543,3275000
20 november 2014,Tomt centrala Ytterby,"Ytterby,Kungälvskommun",156,,7,600,1150000
20 november 2014,Nolby 170,"Kode,Kungälvskommun",203+55,258.0,6,7383,4100000
17 november 2014,Duvesjön 335,"Duvesjön,Kungälvskommun",121,,5,1205,2750000
17 november 2014,Kulperödsvägen 10,"Kungälv-Hålta,Kungälvskommun",175+14,189.0,6,2341,3850000
16 november 2014,Häljeröd 300,"Kungälv-Romelanda,Kungälvskommun",223+25,248.0,7,5647,5000000
16 november 2014,Stenåldersgatan 52,"Ytterby,Kungälvskommun",117,,4,345,3400000
14 november 2014,Rondan 8,"Ödsmålsmosse,Kungälvskommun",125+29,154.0,5,1106,2920000
12 november 2014,Älvliden 2,"Kungälv,Kungälvskommun",118+50,168.0,5,405,3450000
12 november 2014,Östergårdsgatan 23,"Ytterby,Kungälvskommun",180+48,228.0,6,840,3500000
9 november 2014,Duvesjön 217,"Duvesjön/Kungälv,Kungälvskommun",120+36,156.0,4,1091,3030000
31 oktober 2014,Dotorp 230,"Kärna,Kungälvskommun",64+42,106.0,3,986,1800000
28 oktober 2014,Munkegärdegatan 251,"Kungälv,Kungälvskommun",178+109,287.0,8,849,4325000
28 oktober 2014,Duvesjön 232,"Duvesjön,Kungälvskommun",122,,5,1076,2780000
23 oktober 2014,Onyxvägen 23,"Kungälv,Kode,Kungälvskommun",155,,7,514,2940000
20 oktober 2014,Västra Röd 180,"Kungälv-Harestad,Kungälvskommun",150,,5,,5200000
15 oktober 2014,Snäckvägen 3,"Ödsmålsmosse,Kungälvskommun",76+28,104.0,4,1213,2575000
13 oktober 2014,Tulpanvägen 1,"Kärna,Kungälvskommun",127+105,232.0,7,568,2225000
9 oktober 2014,Tegskiftegatan 50,"Tega,Kungälvskommun",112+57,169.0,5,856,3150000
7 oktober 2014,Gråstensvägen 26,"Kode,Kungälvskommun",191,,6,1149,3720000
2 oktober 2014,Matskärsvägen 104,"Tjuvkil(norradelen)+Baracken,Kungälvskommun",134,,5,996,4520000
26 september 2014,Idrottsgatan 26,"Marstrand,Koön,Kungälvskommun",130+20,150.0,5,565,4075000
25 september 2014,Åseby 350,"Kode,Kungälvskommun",169,,8,1113,4850000
25 september 2014,Västra Röd 130,"Kärna-Harestad,Kungälvskommun",136+15,151.0,4,1170,3100000
25 september 2014,Skår 170,"Kärna,Kungälvskommun",90+101,191.0,6,1054,2500000
15 september 2014,Önneröd 140,"Kärna,Kungälvskommun",110+110,220.0,,2439,2050000
10 september 2014,Hjälmgatan 1,"Ytterby-Stället,Kungälvskommun",96+8,104.0,3,444,2900000
9 september 2014,Prejelvägen 114,"Ullstorp,Kungälvskommun",122,,5,366,3750000
9 september 2014,Långåkersgatan 11,"KungälvCentralt,Kungälvskommun",129+36,165.0,5,1136,4700000
8 september 2014,Gamla Torget 10,"KungälvGamlaStaden,Kungälvskommun",90+23,113.0,4,134,3200000
8 september 2014,Stenåldersgatan 18,"Ytterby-Stället,Kungälvskommun",103,,4,297,3366500
2 september 2014,Norrmannebo 680,"Romelanda,Kungälvskommun",172+71,243.0,7,4202,1700000
31 augusti 2014,Vråkärrsvägen 8,"Kungälv,Kungälvskommun",48,,3,847,1400000
28 augusti 2014,Annas Väg 14,"Kovikshamn,Kungälvskommun",90,,4,1515,2450000
26 augusti 2014,Västerhöjdsvägen 18,"Kärna,Kungälvskommun",115+3,118.0,4,291,3100000
22 augusti 2014,Gategården 182,"Hålta,Kungälvskommun",240+50,290.0,8,1484,2975000
22 augusti 2014,Stenhålt 130,"Romelanda,Kungälvskommun",180,,5,3824,3600000
20 augusti 2014,Västra Porten 28,"Ytterby,Kungälvskommun",120+16,136.0,3,954,3485000
13 augusti 2014,Rondan 22,"Ödsmålsmosse,Kungälvskommun",72+65,137.0,6,1258,1900000
8 augusti 2014,Duvesjön 338,"Kungälv-Romelanda,Kungälvskommun",115,,4,1063,2795000
2 juli 2014,Åsebyberg 725,"Åseby,Kungälvskommun",156,,5,1101,3525000
30 juni 2014,Hasselvägen 4,"Romelanda-Diseröd,Kungälvskommun",125+125,250.0,9,805,2300000
25 juni 2014,Vävra 542,"Hålta,Kungälvskommun",109+15,124.0,5,1106,2750000
19 juni 2014,Halleravägen 8B,"Kovikshamn,Kungälvskommun",150+30,180.0,7,3419,6050000
19 juni 2014,Björkebacka 118,"Kareby,Kungälvskommun",145,,5,2372,3200000
18 juni 2014,Häljeröd 190,"Romelanda,Kungälvskommun",84+79,163.0,5,7965,2710000
18 juni 2014,Hålta Annex 150,"Hålta,Kungälvskommun",32,,2,1208,1000000
17 juni 2014,Granndalen 14,"Lycke,Kungälvskommun",62,,4,1229,2250000
9 april 2015,Kristinedalsgatan 15,"Centralt,Kungälvskommun",145+80,225.0,6,1191,4300000
31 mars 2015,Sköldgatan 6,"Ytterby-Stället,Kungälvskommun",96+8,104.0,3,402,3020000
30 mars 2015,Almvägen 19,"RomelandaTorp,Kungälvskommun",140,,5,801,3110000
27 mars 2015,Solvagnsgatan 10,"Stället,Kungälvskommun",139+12,151.0,5,405,4140000
26 mars 2015,Stora Ryr 135,"Lycke,Kungälvskommun",194,,8,1551,3750000
25 mars 2015,Tröskvägen 272,"Ullstorp,Kungälvskommun",148+10,158.0,7,678,4870000
25 mars 2015,Apelvägen 13,"Romelanda,Kungälvskommun",106+4,110.0,6,449,2850000
24 mars 2015,Prästvägen 715,"Romelanda,Kungälvskommun",122+122,244.0,4,1025,3400000
24 mars 2015,Kovikshamn 200,"Kungälv-Kovikshamn,Kungälvskommun",90+85,175.0,3,1361,3500000
24 mars 2015,Kulperödsvägen 11B,"Kungälv-Hålta,Kungälvskommun",120+127,247.0,6,1007,5100000
23 mars 2015,Hallebäcksvägen 2,"Kode,Kungälvskommun",73+7,80.0,4,1029,1500000
20 mars 2015,Flateby 590,"Harestad,Kungälvskommun",114+65,179.0,3,3853,1995000
20 mars 2015,Fågelstigen 36,"Kungälv,Kungälvskommun",113+5,118.0,4,177,2980000
19 mars 2015,Skutviksvägen 6,"Marstrand-Instön,Kungälvskommun",90,,3,1506,3350000
19 mars 2015,Munkegärdegatan 320,"Munkegärde,Kungälvskommun",148+36,184.0,7,675,4400000
19 mars 2015,Ödsmål 595,"Rörtången,Kungälvskommun",78,,3,12760,5000000
18 mars 2015,Norrmannebo 740 A,"Norrmannebo,Kungälvskommun",84+9,93.0,5,931,1350000
18 mars 2015,Akvamarinvägen 9,"Kode,Kungälvskommun",107,,5,745,2700000
14 mars 2015,Vävra 760,"Hålta,Kungälvskommun",174,,7,1792,5800000
11 mars 2015,Norrmannebo 800,"Norrmannebo,Kungälvskommun",150+10,160.0,6,2964,2600000
6 mars 2015,Onyxvägen 4,"Kode,Kungälvskommun",155,,6,669,3600000
5 mars 2015,Kulperödsvägen 17,"Bohuslän,Kungälvskommun",133+119,252.0,6,2141,4200000
5 mars 2015,Rishammarvägen 33,"Kungälv,Kungälvskommun",112,,4,1003,3430000
3 mars 2015,Duvesjön 346,"Kungälv-Romelanda,Kungälvskommun",145+7,152.0,6,900,3250000
27 februari 2015,Tvetgatan 49,"Bohuslän,Kungälvskommun",110,,,156,2100000
27 februari 2015,Vitsippegatan 8,"Ytterby,Kungälvskommun",181,,7,579,3595000
26 februari 2015,Hemvägen 41,"Kungälv-Romelanda,Kungälvskommun",141,,7,924,3610000
26 februari 2015,Fregattgatan 5,"Centralt,Kungälvskommun",126+65,191.0,5,506,4300000
26 februari 2015,Munkholmsgatan 7,"Kungälv,Kungälvskommun",95,,4,796,2750000
26 februari 2015,Lilla Ryr 200,"Kungälv-Lycke,Kungälvskommun",60+60,120.0,2,1406,2400000
21 februari 2015,Stenåldersgatan 6,"YtterbyStället,Kungälvskommun",104,,4,318,3200000
13 februari 2015,Gullbringa 110,"Hålta,Kungälvskommun",180,,5,2068,3495000
13 februari 2015,Bärnstensvägen 1,"Kode,Kungälvskommun",177+170,347.0,7,1070,3050000
12 februari 2015,Tvetgatan 123,"Kungälv,Kungälvskommun",109,,5,300,2450000
12 februari 2015,Mellan-Restad 270,"Hålta,Kungälvskommun",160+14,174.0,5,1233,3315000
11 februari 2015,Alekärr 125,"Romelanda,Kungälvskommun",120,,3,1950,3400000
10 februari 2015,Hällristningsgatan 12,"KungälvYtterby,Kungälvskommun",107,,5,560,3425000
3 februari 2015,Tegskiftegatan 28,"Kungälv-Ytterby,Kungälvskommun",134+134,268.0,7,832,4700000
28 januari 2015,Grandalen 190,"Kungälv-Svartedalen,Kungälvskommun",105+60,165.0,3,1378,1900000
21 januari 2015,Stenhålt 352,"Kungälv-Romelanda,Kungälvskommun",151,,6,1630,3810000
18 januari 2015,Vävra 120,"Bohuslän,Kungälvskommun",121+25,146.0,7,3352,2600000
16 januari 2015,Trankärrsliden 21,"Tveten&Skälebräcke,Kungälvskommun",110+75,185.0,5,1216,2950000
16 januari 2015,Rubinvägen 19,"Kode,Kungälvskommun",195,,6,937,3400000
14 januari 2015,Åsebyberg 853,"Kode,Kungälvskommun",137,,5,1462,3395000
13 januari 2015,Lundby 475,"Kareby,Kungälvskommun",141+40,181.0,5,2024,4000000
11 januari 2015,Bergkristallvägen 20,"Kode,Kungälvskommun",127,,5,572,3760000
2 januari 2015,Rosenstensvägen 43,"Bohuslän,Kungälvskommun",135,,,188,2600000
20 december 2014,Åsebyberg 685,"Kode,Kungälvskommun",115,,3,1374,2995000
12 december 2014,Gårdskiftegatan 17,"Tega,Kungälvskommun",163+35,198.0,6,1147,4050000
4 december 2014,Tröskvägen 260,"Ullstorp,Kungälvskommun",140,,6,410,4450000
21 augusti 2019,Olserödsgatan 16,"Olseröd,Kungälvskommun",118,,5,238,3875000
20 augusti 2019,Lysegården 110,"Romelanda,Kungälvskommun",156+36,192.0,5,2899,3380000
19 augusti 2019,Vävra 433,"Hålta,Kungälvskommun",198,,6,1729,5300000
16 augusti 2019,Munkholmsgatan 2,"Komarken,Kungälvskommun",137+73,210.0,7,893,5400000
16 augusti 2019,Staby 360,"Kungälv-Kärna,Kungälvskommun",119+75,194.0,5,1020,2900000
16 augusti 2019,Beryllvägen 2,"Kode,Kungälvskommun",128+5,133.0,6,908,4455000
16 augusti 2019,Grindvakten 27,"KungälvGrinden,Kungälvskommun",121,,4,312,3750000
15 augusti 2019,Holm 440,"Kärna,Kungälvskommun",131+13,144.0,5,1408,4275000
14 augusti 2019,Tolleröd 280,"Kungälv,Kungälvskommun",73,,3,1446,3330000
13 augusti 2019,Hasselvägen 5,"Romelanda,Kungälvskommun",115+166,281.0,,972,1900000
13 augusti 2019,Vetegången 15,"Centralt,Kungälvskommun",124,,4,403,4100000
12 augusti 2019,Staby 750,"Kärna,Kungälvskommun",117+151,268.0,7,2787,4325000
2 augusti 2019,Solvagnsgatan 2,"Ytterby,Kungälvskommun",164+12,176.0,5,484,5455000
1 augusti 2019,Aspvägen 8,"Ytterby,Kungälvskommun",130+90,220.0,5,602,4680000
1 augusti 2019,Rönnvägen 17,"Diseröd,Kungälvskommun",125+80,205.0,6,805,3500000
20 juli 2019,Prästvägen 990,"Diseröd,Kungälvskommun",191+107,298.0,5,1941,5000000
18 juli 2019,Kulleskärsvägen,"Tjuvkil,Kungälvskommun",142,,6,410,4893000
16 juli 2019,Lilla Fjellsholmen 61,"Vedhall,Kungälvskommun",86,,4,405,6500000
12 juli 2019,Sjöhåla 120,"Kovikshamn,Kungälvskommun",65,,2,1662,1870000
11 juli 2019,Bergliden 5,"Kode,Kungälvskommun",68+16,84.0,3,1945,2970000
9 juli 2019,Snäckliden 2,"Sundhammar,Kungälvskommun",120+30,150.0,5,1085,4800000
5 juli 2019,Kantorvägen 5,"Bohuslän,Kungälvskommun",125,,5,574,3495000
5 juli 2019,Vävra 470,"Hålta,Kungälvskommun",160+10,170.0,5,3244,2900000
5 juli 2019,Valeberg 105,"Solberga-Kode,Kungälvskommun",98+55,153.0,4,2957,3350000
3 juli 2019,Ranneberg 200,"Kärna,Kungälvskommun",66+63,129.0,4,3315,2250000
3 juli 2019,Bergsvägen 15,"Ödsmålsmosse/Rörtången,Kungälvskommun",57,,4,1784,1600000
2 juli 2019,Vitsippegatan 12,"Ytterby,Kungälvskommun",179+21,200.0,6,535,4650000
1 juli 2019,Hanekullen 205,"Kareby,Kungälvskommun",196,,6,1885,4750000
28 juni 2019,Dotorp 250,"Kärna,Kungälvskommun",126+32,158.0,5,1449,3825000
27 juni 2019,Över-Restad 210,"Hålta,Kungälvskommun",107,,5,2738,1700000
26 juni 2019,Hövdingagatan 1,"Komarken,Kungälvskommun",163+160,323.0,6,1030,5200000
25 juni 2019,Ängsgatan 17,"Centralt,Kungälvskommun",102+102,204.0,5,574,4620000
23 juni 2019,Ranneberg 180,"Kärna,Kungälvskommun",95+55,150.0,5,1204,2810000
20 juni 2019,Bastubäcksvägen 38,"Ödsmålsmosse/Rörtången,Kungälvskommun",63,,3,767,2900000
20 juni 2019,Enskiftegatan 14,"Ytterby,Kungälvskommun",170+73,243.0,7,924,5575000
20 juni 2019,Häljeröd 420,"Romelanda,Kungälvskommun",146+62,208.0,5,1172,3800000
20 juni 2019,Strömgatan 3,"Ytterby,Kungälvskommun",94+47,141.0,5,955,4750000
19 juni 2019,Grindslanten 14,"Grinden,Kungälvskommun",112.7+15,127.7,5,,3000000
19 juni 2019,Skogen 148,"Kareby,Kungälvskommun",145,,6,2156,5100000
15 juni 2019,Norrmannebo 200,"Romelanda,Kungälvskommun",127+71,198.0,6,3500,3200000
14 juni 2019,Vråstigen 2,"Bohuslän,Kungälvskommun",95+35,130.0,6,1661,3300000
14 juni 2019,Skårby 590,"Kareby,Kungälvskommun",65+10,75.0,2,1132,2350000
13 juni 2019,Blåsippegatan 14,"Ytterby,Kungälvskommun",201,,6,833,4000000
12 juni 2019,Granndalen 19,"Lycke,Kungälvskommun",49,,4,1421,1700000
11 juni 2019,Länsmansvägen 28,"Ytterby,Kungälvskommun",127+51,178.0,6,862,4707000
10 juni 2019,Nordön 180,"Tjuvkil,Kungälvskommun",80+80,160.0,5,1587,4850000
7 juni 2019,Barlinds väg  7,"Marstrand,Kungälvskommun",90,,5,1527,4490000
7 juni 2019,Skårby 985,"Bohuslän,Kungälvskommun",165.6,,5,1655,4750000
5 juni 2019,Brunskär 510,"Kärna,Kungälvskommun",90+15,105.0,4,365,4250000
4 juni 2019,Kastellegårdsvägen 220,"Kastellegården,Kungälvskommun",4,,,1450,4050000
20 maj 2020,Krokens väg 22,"Tjuvkil(västradelen)+Kroken,Kungälvskommun",122+72,194.0,6,1320,5900000
19 maj 2020,Bäckliden 10,"Kungälv,Kungälvskommun",169+79,248.0,7,500,7700000
18 maj 2020,Tronnum 260,"Kärna,Kungälvskommun",106,,3,1229,3500000
16 maj 2020,Rishammarvägen 12,"Kungälv,Kungälvskommun",185+26,211.0,7,747,6000000
14 maj 2020,Åkerhög 410,"Vedhall,Kungälvskommun",147,,4,842,5000000
13 maj 2020,Grandalen 110,"Duvesjön,Kungälvskommun",66,,2,1121,2300000
13 maj 2020,Kållen 140,"Romelanda,Kungälvskommun",96+25,121.0,4,2207,3200000
12 maj 2020,Kärnavägen 1,"Kärna,Kungälvskommun",159+90,249.0,8,668,4300000
12 maj 2020,Hamngatan 3,"Kungälvcentralt,Kungälvskommun",144+76,220.0,6,620,6100000
12 maj 2020,Kvarnvägen 41,"Bohuslän,Kungälvskommun",111+45,156.0,5,1194,3650000
11 maj 2020,Krokens väg 21,"Lycke,Kungälvskommun",157,,6,968,5950000
10 maj 2020,Åseby 120,"Kode/Solberga,Kungälvskommun",91+71,162.0,3,19952,3825000
6 maj 2020,Byvägen 63,"Ödsmålsmosse,Kungälvskommun",104,,5,1750,3750000
6 maj 2020,Toftåsen 3,"Sundhammar,Kungälvskommun",137+36,173.0,6,1235,5975000
6 maj 2020,Gullbringa 110,"Lökeberg,Kungälvskommun",180,,6,2068,4300000
6 maj 2020,Skäggstorp 180,"Kode,Kungälvskommun",52,,2,1353,2450000
5 maj 2020,Källeröd 166,"Kareby,Kungälvskommun",126,,6,988,4295000
5 maj 2020,Skårshöjd 8,"Kärna,Kungälvskommun",140+40,180.0,6,921,3700000
4 maj 2020,Lievägen 245,"Ullstorp,Kungälvskommun",111,,4,487,5150000
1 maj 2020,Flädervägen 17,"Diseröd,Kungälvskommun",110,,4,332,3600000
30 april 2020,Duvesjön 230,"Duvesjön,Kungälvskommun",119,,4,1091,4450000
29 april 2020,Olserödsgatan 128,"Kungälv,Kungälvskommun",150+39,189.0,4,1388,4650000
29 april 2020,Instölid 33,"Instön,Kungälvskommun",55,,3,841,3950000
28 april 2020,Tjällviksvägen 4,"Marstrand,Kungälvskommun",74,,2,822,2650000
28 april 2020,Grokareby 130,"Kareby,Kungälvskommun",200+26,226.0,6,6284,3825000
28 april 2020,Häljeröd 280,"Romelanda,Kungälvskommun",199+24,223.0,7,3235,3700000
28 april 2020,Älggatan 6,"Olseröd,Kungälvskommun",111,,4,,3375000
27 april 2020,Hemmansgatan 2,"Ytterby,Kungälvskommun",179,,8,1021,4800000
25 april 2020,Västra Röd 130,"Harestad,Kungälvskommun",136+15,151.0,5,1170,4200000
24 april 2020,Bergåsvägen 17,"Ytterby,Kungälvskommun",126+49,175.0,6,1054,4600000
24 april 2020,Åseby 170,"Åseby,Kungälvskommun",101,,3,1945,3500000
23 april 2020,Aspvägen 7A,"Kungälv-Ytterby,Kungälvskommun",106+104,210.0,6,640,4725000
22 april 2020,Hammar 150,"Harestad,Kungälvskommun",95+65,160.0,4,1391,1895000
22 april 2020,Ingegatan 2E,"Komarken,Kungälvskommun",102+49,151.0,5,108,3600000
21 april 2020,Tvetgatan 289,"Tveten,Kungälvskommun",130+9,139.0,5,127,3700000
19 april 2020,Prästvägen 238,"Kareby,Kungälvskommun",177,,7,1401,5400000
18 april 2020,Hammarberg 880,"Kode,Kungälvskommun",71,,3,2037,2450000
17 april 2020,Källeröd 168,"Kareby,Kungälvskommun",126,,6,1000,4395000
17 april 2020,Tjällviksvägen 14,"Instön,Kungälvskommun",138+4,142.0,4,3032,4150000
16 april 2020,Ingetorp 190,"Kode,Kungälvskommun",70+12,82.0,4,2160,2860000
7 april 2020,Bokvägen 8,"Centralt,Kungälvskommun",170+40,210.0,8,635,6650000
3 april 2020,Önneröd 145,"Bohuslän,Kungälvskommun",110,,4,1030,4800000
3 april 2020,Skårby 774,"Bohuslän,Kungälvskommun",151,,7,2155,5300000
2 april 2020,Lerskärsvägen 11,"Lycke,Kungälvskommun",63+19,82.0,,1065,2750000
2 april 2020,Löstorp 120,"Kareby,Kungälvskommun",93+100,193.0,6,1313,3620000
2 april 2020,Flädervägen 48,"Diseröd,Kungälvskommun",182+10,192.0,7,823,5455000
2 april 2020,Lievägen 232,"Ullstorp,Kungälvskommun",134+5,139.0,5,257,5420000
1 april 2020,Lilla Fjellsholmen 33,"LillaFjellsholmen,Kungälvskommun",108+18,126.0,4,412,7900000
1 april 2020,Vitsten 210,"Kode,Kungälvskommun",50,,3,1191,1200000
1 april 2020,Orrstigen 8,"Bohuslän,Kungälvskommun",128,,,361,4220000
29 november 2013,Rishammar 260,"Bohuslän,Kungälvskommun",154+86,240.0,7,2982,2525000
29 november 2013,Skurhagagatan 4,"Centralt,Kungälvskommun",190+75,265.0,7,798,2750000
27 november 2013,Domsvägen 4,"Ytterby,Kungälvskommun",98+77,175.0,5,858,2150000
25 november 2013,Åldermansvägen 9,"Ytterby,Kungälvskommun",174+74,248.0,5,1119,3600000
15 november 2013,Västerhöjdsvägen 24,"Kärna,Kungälvskommun",150,,5,596,4160000
15 november 2013,Thorilds Gränd 9,"Centralt,Kungälvskommun",121+3,124.0,4,422,4610000
13 november 2013,Åldermansvägen 12,"Ytterby,Kungälvskommun",124+124,248.0,5,909,3745000
12 november 2013,Lundby 380,"Kareby,Kungälvskommun",140,,4,1818,2900000
11 november 2013,Oskarsbergsgatan 34,"Tega,Kungälvskommun",119+48,167.0,4,773,3020000
4 november 2013,Fontinvägen 26,"Centralt,Kungälvskommun",166+63,229.0,6,1083,4675000
31 oktober 2013,Jägarvägen 6,"Bohuslän,Kungälvskommun",159+16,175.0,5,564,2200000
25 oktober 2013,Komministergatan 16,"Centralt,Kungälvskommun",175+100,275.0,7,723,5100000
22 oktober 2013,Fredkullagatan 24,"Centralt,Kungälvskommun",80+40,120.0,4,918,2440000
18 oktober 2013,Ulvesund 305,"Ytterby-Ulvesund,Kungälvskommun",154,,7,775,2690000
18 oktober 2013,Vävra 535,"Vävra,Kungälvskommun",60,,3,1069,1460000
11 oktober 2013,Åsleröd 110,"Ytterby,Kungälvskommun",57+57,114.0,3,975,1555000
11 oktober 2013,Rundsvallen 150,"Ytterby-Rundsvallen,Kungälvskommun",142+15,157.0,5,1440,2850000
11 oktober 2013,Krappvägen 574,"Ullstorp,Kungälvskommun",170+29,199.0,5,807,4845000
9 oktober 2013,Staby 774,"Kärna,Kungälvskommun",121,,4,1127,2740000
8 oktober 2013,Glose 590,"Glose,Kungälvskommun",108+57,165.0,5,1799,1850000
8 oktober 2013,Svärdgatan 6,"Stället,Kungälvskommun",137+8,145.0,5,392,3560000
3 oktober 2013,Drakegatan 8,"Centralt,Kungälvskommun",121+39,160.0,4,853,3400000
18 september 2013,Hällevad 140,"Duvesjön,Kungälvskommun",144+58,202.0,6,2077,2955000
13 september 2013,Holm 230,"Kärna,Kungälvskommun",155+7,162.0,6,2861,3700000
9 september 2013,Braseröd 120,"Romelanda,Kungälvskommun",108+8,116.0,4,7164,1895000
30 augusti 2013,Lahälla 760,"Lahälla,Kungälvskommun",181+60,241.0,5,2559,4500000
30 augusti 2013,Olsegården 13,"Olseröd,Kungälvskommun",140+32,172.0,5,375,3280000
28 augusti 2013,Heden 180,"Ytterby-Ulvesund,Kungälvskommun",60+57,117.0,3,2279,2500000
28 augusti 2013,Brunnefjäll 132,"Kärna-Vedhall,Kungälvskommun",220,,6,1076,4490000
27 augusti 2013,Kållstorp 140,"Kärna-Harestad,Kungälvskommun",110,,5,3436,1360000
26 augusti 2013,Rönnvägen 14,"Romelanda-Diseröd,Kungälvskommun",109+109,218.0,6,1059,2710000
20 augusti 2013,Ängsgatan 13,"Centralt,Kungälvskommun",111+92,203.0,4,564,2550000
15 augusti 2013,Strandgatan 10B,"Centralt,Kungälvskommun",101+6.5,107.5,4,414,3230000
15 augusti 2013,Marielundsvägen 16,"Marstrand-Koön,Kungälvskommun",163,,5,702,4500000
15 augusti 2013,Kuskalundsvägen 12,"Vävra,Kungälvskommun",87,,4,1379,1835000
13 augusti 2013,Vävra 705,"Hålta,Kungälvskommun",118+11,129.0,4,1206,2450000
5 augusti 2013,Rönnvägen 1,"Romelanda-Diseröd,Kungälvskommun",98+71,169.0,5,941,2250000
22 juli 2013,Slånvägen 5,"Kärna,Kungälvskommun",207+209,416.0,9,2017,3550000
18 juli 2013,Dalen 240,"Kärna,Kungälvskommun",85,,3,2611,1750000
9 juli 2013,Duvesjön 210,"Duvesjön,Kungälvskommun",133,,5,1768,2750000
3 juli 2013,Duvesjön 234,"Bohuslän,Kungälvskommun",119,,4,1147,3000000
25 juni 2013,Åsebyberg 680,"Åsebyberg,Kungälvskommun",51,,2,1206,1550000
18 juni 2013,Ulvesund 408,"Ytterby-Ulvesund,Kungälvskommun",52,,3,805,1600000
13 juni 2013,Karantänsgatan 4,"Bohuslän,Kungälvskommun",145+70,215.0,7,619,4000000
12 juni 2013,Skogsvägen 20,"Ingetorp,Kungälvskommun",101,,4,1318,1785000
9 juni 2013,Rörtången 123,"Rörtången,Kungälvskommun",101+70,171.0,3,1010,3600000
31 maj 2013,Toreby 280,"Kärna-Harestad,Kungälvskommun",146,,6,2013,2770000
30 maj 2013,Kållstorp 140,"Kärna-Harestad,Kungälvskommun",110,,5,3436,1700000
29 maj 2013,Lievägen 224,"Ullstorp,Kungälvskommun",122,,5,304,3470000
29 maj 2013,Beryllvägen 14,"Kode,Kungälvskommun",145,,5,434,3020000
23 mars 2023,Kulperödsvägen 17,"Bohuslän,Kungälvskommun",133+119,252.0,6,2141,4800000
9 mars 2023,Sköldgatan 8,"Stället,Kungälvskommun",96+29,125.0,3,451,4225000
9 mars 2023,Munkegärdegatan 279,"Kungälv-Munkegärde,Kungälvskommun",118,,4,342,4700000
8 mars 2023,Önneröd 120,"Kärna,Kungälvskommun",133+29,162.0,5,3061,3750000
3 mars 2023,Kyrkeby 293,"Harestad,Kungälvskommun",170,,6,1189,5500000
2 mars 2023,Harkeröd 305,"Hålta,Kungälvskommun",110,,4,818,4395000
2 mars 2023,Lagvägen 23,"Ytterby,Kungälvskommun",107+7,114.0,4,757,2700000
27 februari 2023,Tegskiftegatan 84,"Ytterby,Kungälvskommun",101+146,247.0,5,1186,5310000
21 februari 2023,Signehög 320,"Romelanda,Kungälvskommun",105+57,162.0,5,1550,4350000
8 februari 2023,Guddehjälm 215,"Ytterby,Kungälvskommun",182.5,,8,3639,5330000
7 februari 2023,Kärnavägen 4,"Kärna,Kungälvskommun",110+90,200.0,7,860,4250000
4 februari 2023,Källeröd 166,"Kareby,Kungälvskommun",127,,6,988,4350000
2 februari 2023,Korpedalsvägen 3,"Aröd,Kungälvskommun",140+64,204.0,5,993,4000000
30 januari 2023,Hällristningsgatan 10,"Kungälv-Ytterby,Kungälvskommun",103,,4,282,4000000
27 januari 2023,Kantorvägen 4,"Diseröd,Kungälvskommun",134,,5,558,3700000
26 januari 2023,Gunneröd 320,"Lycke,Kungälvskommun",145,,5,1144,3900000
19 januari 2023,Prästvägen 340,"Kungälv-Kareby,Kungälvskommun",158+92,250.0,7,4235,6100000
18 januari 2023,Granndalen 13,"Kärna,Kungälvskommun",110+27,137.0,4,1093,3850000
17 januari 2023,Stenåldersgatan 57,"Ytterby,Kungälvskommun",107,,5,354,4380000
12 januari 2023,Duvesjön 216,"Romelanda,Kungälvskommun",153,,6,2091,4750000
4 januari 2023,Rostock 290,"Romelanda,Kungälvskommun",148+65,213.0,,1678,3400000
27 december 2022,Långdammsvägen 2,"Marstrandsön,Kungälvskommun",28,,,617,7125000
21 december 2022,Munkegärdegatan 312,"Munkegärde,Kungälvskommun",170,,6,612,5605000
15 december 2022,Bremnäs 130,"Lycke,Kungälvskommun",167+40,207.0,8,938,4490000
13 december 2022,Bremnäs 155,"LyckeBremnäs,Kungälvskommun",137+53,190.0,6,1298,4125000
2 december 2022,Skurhagagatan 3,"Komarken,Kungälvskommun",127+125,252.0,6,603,4700000
2 december 2022,Över-Restad 165,"Hålta,Kungälvskommun",126,,6,1693,5050000
2 december 2022,Sundhammarsvägen 610,"Kärna,Kungälvskommun",188,,6,2010,5500000
2 december 2022,Klevevägen 50,"Ytterby,Kungälvskommun",110,,4,,3600000
1 december 2022,Klockarvägen 11,"Diseröd,Kungälvskommun",170,,6,574,4300000
29 november 2022,Hammarberg 830,"Kode,Kungälvskommun",73+15,88.0,3,1632,2900000
24 november 2022,Jordliden 30,"Kungälv,Kungälvskommun",86,,3,,2750000
24 november 2022,Grindklykan 9,"Grinden,Kungälvskommun",114,,4,729,4800000
18 november 2022,Hältorp 130,"Ytterby,Kungälvskommun",115+115,230.0,7,1372,4050000
17 november 2022,Häljeröd 430,"Romelanda,Kungälvskommun",132,,6,3009,4515000
13 november 2022,Sjöhåla 130,"Sjöhåla,Kungälvskommun",121+75,196.0,4,1576,2400000
12 november 2022,Flädervägen 18,"Romelanda,Kungälvskommun",137+20,157.0,6,353,3850000
11 november 2022,Lundby 440,"Kareby,Kungälvskommun",125+120,245.0,5,1676,4500000
